SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024
40,4,8,49,0,Utah,Utah,3271608,3284077,3339738,3391011,3443222,3503613,12469,55661,51273,52211,60391,11862,45704,46280,45448,45695,4973,21976,23312,21196,21709,6889,23728,22968,24252,23986,118,2055,15177,27421,33133,4658,30032,13488,493,3220,4776,32087,28665,27914,36353,804,-154,-360,45,52,55437,55376,50930,53616,55514,56918,13.79990232,13.75181276,13.30010259,13.15563131,6.63545102,6.927015106,6.202890654,6.250040486,7.164451302,6.824797656,7.097211933,6.905590819,0.620488344,4.509750698,8.024602029,9.539020288,9.067886105,4.007874904,0.144273688,0.927040875,9.688374449,8.517625602,8.168875717,10.46606116
50,4,8,49,1,Utah,Beaver County,7073,7088,7216,7348,7291,7424,15,128,132,-57,133,23,92,111,112,117,10,72,83,68,62,13,20,28,44,55,0,6,20,25,30,-1,103,84,-129,48,-1,109,104,-104,78,3,-1,0,3,0,381,381,357,381,381,381,12.86353468,15.24306509,15.30159164,15.90214067,10.06711409,11.39796759,9.290252066,8.426775399,2.796420582,3.845097501,6.011339572,7.475365274,0.838926175,2.746498215,3.415533848,4.077471967,14.401566,11.5352925,-17.62415466,6.523955148,15.24049217,14.28179072,-14.20862081,10.60142712
50,4,8,49,3,Utah,Box Elder County,57665,57948,59694,61590,62878,64120,283,1746,1896,1288,1242,226,778,869,837,847,129,483,525,462,437,97,295,344,375,410,0,4,59,154,188,177,1486,1450,753,645,177,1490,1509,907,833,9,-39,43,6,-1,336,336,281,314,323,322,13.22656874,14.33000231,13.44923997,13.33879274,8.211353088,8.657366182,7.42359482,6.881998142,5.015215654,5.672636127,6.025645146,6.456794595,0.068002924,0.972923057,2.474531607,2.960676546,25.26308631,23.91082088,12.09949545,10.15764028,25.33108924,24.88374394,14.57402706,13.11831682
50,4,8,49,5,Utah,Cache County,133152,133629,137470,140450,143193,145487,477,3841,2980,2743,2294,543,2063,2101,2098,2152,136,692,777,753,789,407,1371,1324,1345,1363,-1,73,495,914,1109,21,2420,1169,503,-185,20,2493,1664,1417,924,50,-23,-8,-19,7,4147,4142,3959,4180,4600,4992,15.21953235,15.11945884,14.79324362,14.90924207,5.105146091,5.591537133,5.309491156,5.466260219,10.11438626,9.527921704,9.483752464,9.442981848,0.538548648,3.562176166,6.444721005,7.683247887,17.85325656,8.412492804,3.546711888,-1.281695996,18.39180521,11.97466897,9.991432893,6.401551891
50,4,8,49,7,Utah,Carbon County,20407,20480,20355,20530,20607,20613,73,-125,175,77,6,62,231,224,225,225,55,277,305,279,267,7,-46,-81,-54,-42,0,1,2,5,6,64,-94,252,132,40,64,-93,254,137,46,2,14,2,-6,2,297,297,295,275,249,260,11.31382393,10.9575639,10.9390573,10.91703057,13.56679319,14.91989727,13.56443105,12.95487627,-2.252969267,-3.962333374,-2.625373751,-2.037845706,0.048977593,0.097835392,0.243090162,0.291120815,-4.603893719,12.32725939,6.417580281,1.940805434,-4.554916126,12.42509478,6.660670443,2.231926249
50,4,8,49,9,Utah,Daggett County,936,952,982,1011,983,956,16,30,29,-28,-27,1,15,6,5,5,1,6,9,7,6,0,9,-3,-2,-1,0,0,0,0,0,19,22,31,-27,-26,19,22,31,-27,-26,-3,-1,1,1,0,0,0,0,0,0,0,15.51189245,6.021073758,5.015045135,5.157297576,6.20475698,9.031610637,7.02106319,6.188757091,9.307135471,-3.010536879,-2.006018054,-1.031459515,0,0,0,0,22.7507756,31.10888108,-27.08124373,-26.8179474,22.7507756,31.10888108,-27.08124373,-26.8179474
50,4,8,49,11,Utah,Davis County,362681,363768,367529,370424,374430,378470,1087,3761,2895,4006,4040,1295,4799,4853,4592,4610,537,2260,2339,2088,2176,758,2539,2514,2504,2434,6,102,741,1409,1694,163,809,-144,163,-112,169,911,597,1572,1582,160,311,-216,-70,24,2329,2329,2015,2154,2181,2273,13.12462652,13.15259915,12.32993311,12.2459822,6.18079932,6.339157101,5.606467845,5.780316111,6.9438272,6.813442049,6.72346527,6.465666091,0.27895643,2.008257979,3.783291759,4.49993359,2.212507367,-0.390268757,0.437669664,-0.29751627,2.491463797,1.617989222,4.220961423,4.20241732
50,4,8,49,13,Utah,Duchesne County,19609,19625,19800,20158,20541,20803,16,175,358,383,262,91,248,286,296,295,33,171,182,158,182,58,77,104,138,113,0,0,3,19,21,-41,83,248,226,128,-41,83,251,245,149,-1,15,3,0,0,183,183,183,183,184,184,12.58084972,14.31503078,14.54581194,14.27051084,8.674698795,9.109565043,7.764318534,8.804179567,3.90615092,5.205465739,6.781493403,5.466331269,0,0.150157666,0.933683874,1.015866873,4.210526316,12.41303369,11.10592398,6.191950464,4.210526316,12.56319135,12.03960785,7.207817338
50,4,8,49,15,Utah,Emery County,9826,9848,9967,10104,10149,10161,22,119,137,45,12,25,107,124,129,134,23,113,134,123,132,2,-6,-10,6,2,0,4,17,0,0,17,119,130,40,11,17,123,147,40,11,3,2,0,-1,-1,61,61,61,61,61,61,10.79989907,12.35613572,12.7388535,13.19547021,11.40550088,13.35259828,12.14634869,12.9985229,-0.605601817,-0.996462558,0.592504814,0.196947317,0.403734545,1.693986349,0,0,12.0111027,12.95401325,3.950032094,1.083210241,12.41483725,14.6479996,3.950032094,1.083210241
50,4,8,49,17,Utah,Garfield County,5081,5098,5122,5264,5320,5290,17,24,142,56,-30,21,56,55,48,48,11,74,48,55,63,10,-18,7,-7,-15,0,0,0,3,5,6,41,132,61,-19,6,41,132,64,-14,1,1,3,-1,-1,265,265,266,263,265,266,10.95890411,10.59118044,9.070294785,9.048067861,14.481409,9.243212016,10.39304611,11.87558907,-3.522504892,1.347968419,-1.322751323,-2.827521206,0,0,0.566893424,0.942507069,8.023483366,25.41883304,11.52683296,-3.581526861,8.023483366,25.41883304,12.09372638,-2.639019793
50,4,8,49,19,Utah,Grand County,9672,9683,9680,9809,9810,9788,11,-3,129,1,-22,24,102,98,99,112,19,79,82,85,96,5,23,16,14,16,0,5,38,94,113,5,-34,69,-109,-150,5,-29,107,-15,-37,1,3,6,2,-1,160,160,160,160,160,161,10.53555751,10.05695521,10.09225751,11.42973773,8.159892579,8.415003335,8.665069575,9.796918053,2.375664928,1.64195187,1.42718793,1.632819676,0.516448897,3.899635692,9.582547531,11.53178896,-3.511852502,7.080917441,-11.11167746,-15.30768446,-2.995403605,10.98055313,-1.529129925,-3.7758955
50,4,8,49,21,Utah,Iron County,57281,57711,60520,62607,64485,65936,430,2809,2087,1878,1451,226,749,805,871,869,87,406,473,407,392,139,343,332,464,477,0,15,239,290,348,304,2574,1459,1103,616,304,2589,1698,1393,964,-13,-123,57,21,10,1636,1632,1593,1607,1661,1641,12.6701119,13.07592973,13.70660624,13.32607479,6.867911123,7.683123929,6.404809115,6.011301861,5.802200776,5.392805802,7.301797123,7.314772928,0.253740559,3.882170442,4.563623202,5.336563897,43.54187988,23.69910743,17.3575048,9.446331496,43.79562044,27.58127787,21.921128,14.78289539
50,4,8,49,23,Utah,Juab County,11784,11826,12214,12575,13016,13297,42,388,361,441,281,45,212,200,201,203,13,86,101,90,80,32,126,99,111,123,0,1,4,11,14,7,267,257,319,145,7,268,261,330,159,3,-6,1,0,-1,107,107,107,106,108,108,17.63727122,16.13618944,15.70864757,15.42963554,7.154742097,8.148775667,7.033722793,6.080644548,10.48252912,7.987413772,8.674924778,9.348990993,0.083194676,0.322723789,0.85967723,1.064112796,22.21297837,20.73500343,24.93063968,11.02116824,22.29617305,21.05772722,25.79031691,12.08528104
50,4,8,49,25,Utah,Kane County,7661,7688,7981,8208,8446,8525,27,293,227,238,79,26,84,94,88,89,13,88,99,87,95,13,-4,-5,1,-6,0,0,2,9,11,15,311,213,225,73,15,311,215,234,84,-1,-14,17,3,1,217,217,206,217,217,217,10.72180739,11.61282352,10.5680317,10.48848035,11.23236965,12.2305269,10.44794044,11.19556891,-0.510562257,-0.617703379,0.120091269,-0.707088563,0,0.247081352,1.080821424,1.296329032,39.69621546,26.31416394,27.02053561,8.602910848,39.69621546,26.56124529,28.10135703,9.89923988
50,4,8,49,27,Utah,Millard County,12981,13055,13189,13328,13432,13572,74,134,139,104,140,53,188,169,171,172,23,142,153,122,122,30,46,16,49,50,0,2,14,17,22,43,78,115,40,70,43,80,129,57,92,1,8,-6,-2,-2,143,143,125,124,126,139,14.32708429,12.74653996,12.78026906,12.7388535,10.82152111,11.53976694,9.118086697,9.035698415,3.505563176,1.206773014,3.662182362,3.703155088,0.15241579,1.055926387,1.270553064,1.629388239,5.944215821,8.673681035,2.989536622,5.184417123,6.096631611,9.729607422,4.260089686,6.813805362
50,4,8,49,29,Utah,Morgan County,12297,12386,12668,12860,13004,13093,89,282,192,144,89,32,139,155,127,131,17,75,66,74,93,15,64,89,53,38,0,0,7,6,10,72,216,108,89,41,72,216,115,95,51,2,2,-12,-4,0,30,30,30,30,30,30,11.09603257,12.14352867,9.820600062,10.03946814,5.987067933,5.170792855,5.722239406,7.127256006,5.108964636,6.97273582,4.098360656,2.912212132,0,0.548417424,0.463965357,0.766371614,17.24275565,8.461297399,6.882152799,3.142123616,17.24275565,9.009714823,7.346118157,3.908495229
50,4,8,49,31,Utah,Piute County,1442,1438,1491,1493,1546,1534,-4,53,2,53,-12,3,19,19,11,13,5,17,25,21,22,-2,2,-6,-10,-9,0,0,0,0,0,-1,54,8,63,-2,-1,54,8,63,-2,-1,-3,0,0,-1,0,0,0,0,0,0,12.97371116,12.73458445,7.239223429,8.441558442,11.60805736,16.75603217,13.82033564,14.28571429,1.365653807,-4.021447721,-6.581112208,-5.844155844,0,0,0,0,36.87265278,5.361930295,41.46100691,-1.298701299,36.87265278,5.361930295,41.46100691,-1.298701299
50,4,8,49,33,Utah,Rich County,2512,2504,2599,2634,2665,2752,-8,95,35,31,87,6,35,20,34,34,6,15,18,14,10,0,20,2,20,24,0,0,-1,0,0,-8,78,34,11,64,-8,78,33,11,64,0,-3,0,0,-1,55,55,55,55,56,56,13.71742113,7.643798968,12.83260993,12.55307366,5.878894768,6.879419071,5.284015852,3.692080487,7.838526357,0.764379897,7.548594074,8.86099317,0,-0.382189948,0,0,30.57025279,12.99445825,4.151726741,23.62931512,30.57025279,12.6122683,4.151726741,23.62931512
50,4,8,49,35,Utah,Salt Lake County,1185234,1187028,1186513,1192255,1200544,1216274,1794,-515,5742,8289,15730,3838,14930,15002,14552,14614,1828,7960,8222,7512,7819,2010,6970,6780,7040,6795,99,1230,8706,15745,18992,-881,-9263,-9098,-14487,-10002,-782,-8033,-392,1258,8990,566,548,-646,-9,-55,18052,18033,15773,16897,17926,18414,12.58035989,12.6132519,12.16316122,12.09358752,6.707278282,6.9128221,6.278839134,6.470491365,5.873081611,5.700429802,5.884322085,5.623096154,1.036426167,7.319755436,13.16031978,15.71653306,-7.80521592,-7.649337808,-12.10883154,-8.27699893,-6.768789753,-0.329582372,1.051488236,7.439534131
50,4,8,49,37,Utah,San Juan County,14508,14518,14494,14411,14390,14601,10,-24,-83,-21,211,46,182,175,178,191,45,157,160,152,163,1,25,15,26,28,0,0,27,51,63,4,-55,-128,-98,121,4,-55,-101,-47,184,5,6,3,0,-1,426,425,381,384,379,389,12.54653247,12.10863173,12.36068192,13.17650305,10.82310768,11.07074901,10.55518906,11.2448691,1.72342479,1.037882719,1.805492865,1.931633955,0,1.868188895,3.541543696,4.3461764,-3.791534537,-8.856599204,-6.80531926,8.347418164,-3.791534537,-6.98841031,-3.263775563,12.69359456
50,4,8,49,39,Utah,Sanpete County,28438,28524,29128,29762,30450,30732,86,604,634,688,282,87,371,398,360,366,58,259,289,261,256,29,112,109,99,110,0,8,70,165,197,47,489,450,423,-29,47,497,520,588,168,10,-5,5,1,4,2791,2786,2770,2835,2934,2869,12.8703254,13.5167261,11.95774929,11.96430323,8.984944148,9.814909153,8.669368232,8.368474388,3.885381253,3.701816947,3.288381054,3.595828839,0.277527232,2.377313636,5.480635089,6.439802556,16.96385208,15.28273052,14.05035541,-0.947991239,17.24137931,17.66004415,19.5309905,5.491811317
50,4,8,49,41,Utah,Sevier County,21516,21564,21909,22065,22367,22520,48,345,156,302,153,71,284,287,284,281,47,244,225,218,226,24,40,62,66,55,0,0,-3,-5,-4,17,305,112,239,103,17,305,109,234,99,7,0,-15,2,-1,404,404,378,372,371,368,13.06558094,13.05316778,12.7835794,12.52032883,11.22535827,10.23331969,9.812747569,10.06973066,1.840222667,2.819848092,2.970831833,2.450598169,0,-0.136444263,-0.225063018,-0.178225321,14.03169784,5.093919134,10.75801224,4.589302025,14.03169784,4.957474872,10.53294923,4.411076704
50,4,8,49,43,Utah,Summit County,42361,42485,43182,43134,42939,43109,124,697,-48,-195,170,109,413,418,409,418,48,181,222,207,207,61,232,196,202,211,0,26,166,230,279,48,431,-412,-641,-327,48,457,-246,-411,-48,15,8,2,14,7,129,129,96,128,129,130,9.641985829,9.685342231,9.503560931,9.715507624,4.225664492,5.143889893,4.809870691,4.811268129,5.416321337,4.541452338,4.69369024,4.904239494,0.607001529,3.846332082,5.344300768,6.484752696,10.06221766,-9.54631818,-14.89433388,-7.600409074,10.66921919,-5.699986098,-9.550033111,-1.115656378
50,4,8,49,45,Utah,Tooele County,72700,73351,76777,79981,82137,84488,651,3426,3204,2156,2351,268,1051,1056,1071,1062,100,467,520,464,461,168,584,536,607,601,0,20,76,110,132,504,2942,2499,1426,1625,504,2962,2575,1536,1757,-21,-120,93,13,-7,511,511,512,511,513,513,14.00138548,13.47299659,13.21259823,12.7471868,6.221357775,6.634430141,5.724225564,5.533383346,7.78002771,6.838566453,7.488372667,7.213803451,0.266439305,0.969647482,1.357036233,1.584396099,39.19322178,31.88354023,17.59212426,19.50487622,39.45966109,32.85318772,18.94916049,21.08927232
50,4,8,49,47,Utah,Uintah County,35613,35675,36235,37162,37903,38307,62,560,927,741,404,144,535,479,466,473,62,339,318,297,292,82,196,161,169,181,0,12,77,165,198,-30,343,663,406,23,-30,355,740,571,221,10,9,26,1,2,121,121,114,115,117,113,14.87971075,13.05230459,12.41590622,12.41306915,9.428452232,8.6652043,7.913141944,7.663036347,5.451258518,4.38710029,4.502764271,4.750032804,0.333750522,2.0981784,4.396189969,5.196168482,9.539702406,18.06613349,10.81729168,0.603595329,9.873452927,20.16431189,15.21348165,5.799763811
50,4,8,49,49,Utah,Utah County,659397,663606,686038,704764,725359,747234,4209,22432,18726,20595,21875,3049,11866,12001,11956,12008,705,3164,3431,3137,3284,2344,8702,8570,8819,8724,13,492,3515,6661,8054,1739,13510,6633,5053,5031,1752,14002,10148,11714,13085,113,-272,8,62,66,15952,15929,15425,15469,15712,16214,17.5838962,17.2576686,16.72024015,16.3086474,4.68864382,4.933843926,4.387035241,4.460159732,12.89525238,12.32382467,12.33320491,11.84848767,0.72908115,5.05463754,9.315282672,10.93852816,20.02009419,9.538381452,7.066525047,6.832845192,20.74917534,14.59301899,16.38180772,17.77137335
50,4,8,49,51,Utah,Wasatch County,34787,35063,36257,36731,37303,37858,276,1194,474,572,555,97,383,380,376,378,40,190,208,199,170,57,193,172,177,208,0,22,205,192,235,232,1018,117,210,111,232,1040,322,402,346,-13,-39,-20,-7,1,239,239,238,239,239,239,10.74032529,10.41267058,10.15749521,10.05840795,5.32809871,5.699567052,5.375908366,4.523622623,5.412226584,4.713103524,4.781586839,5.534785328,0.616937745,5.617361758,5.186806062,6.253243038,28.54739204,3.206006467,5.67306913,2.953659478,29.16432978,8.823368225,10.85987519,9.206902516
50,4,8,49,53,Utah,Washington County,180289,182029,191552,197898,202735,207943,1740,9523,6346,4837,5208,533,2251,2317,2321,2268,422,1800,2038,1788,1697,111,451,279,533,571,0,16,287,376,468,1807,9586,5500,3867,4178,1807,9602,5787,4243,4646,-178,-530,280,61,-9,2785,2782,2662,3230,3179,3162,12.05093407,11.89883169,11.5866641,11.04514973,9.636464381,10.46604185,8.925874803,8.264382314,2.414469687,1.432789832,2.660789301,2.780767414,0.085657461,1.473873411,1.877029601,2.27915788,51.31952642,28.24496084,19.30445071,20.34684108,51.40518388,29.71883425,21.18148031,22.62599896
50,4,8,49,55,Utah,Wayne County,2487,2506,2563,2632,2613,2608,19,57,69,-19,-5,12,41,30,28,30,6,40,35,29,20,6,1,-5,-1,10,0,-1,-1,-1,-2,15,59,73,-17,-13,15,58,72,-18,-15,-2,-2,2,0,0,0,0,0,0,0,0,16.1767607,11.54956689,10.67683508,11.49205133,15.78220556,13.47449471,11.05815062,7.661367554,0.394555139,-1.924927815,-0.381315539,3.830683777,-0.394555139,-0.384985563,-0.381315539,-0.766136755,23.27875321,28.1039461,-6.482364156,-4.97988891,22.88419807,27.71896054,-6.863679695,-5.746025666
50,4,8,49,57,Utah,Weber County,262218,263001,266613,269823,272686,276118,783,3612,3210,2863,3432,906,3480,3548,3503,3550,494,2119,2225,2039,2090,412,1361,1323,1464,1460,1,17,412,776,950,294,2134,1464,649,1012,295,2151,1876,1425,1962,76,100,11,-26,10,3680,3679,2888,3326,3413,3416,13.14164656,13.22804584,12.91407147,12.93722349,8.002054326,8.295490981,7.516925987,7.616562562,5.139592231,4.932554862,5.397145485,5.320660928,0.064197699,1.536063948,2.860782033,3.462073892,8.058699355,5.45824665,2.392587035,3.688019767,8.122897053,6.994310598,5.253369069,7.150093658
